part_no,parent,type,name,ref,oem_code,qty,cad,material_spec,source,price_eur,issue,status
OD-000,,ASM,Open Dedica espresso machine (top assembly),,,1,DESIGN,,,,,todo
OD-H00,OD-000,ASM,Hydraulic core,,,1,DESIGN,,,,,todo
OD-H01,OD-H00,OEM,Pump ULKA EP5/EX5 48 W 230 V 15 bar,40,AS00002825,1,SCAN,,AliExpress `ULKA EP5 48W 230V` / eBay / ulkapumps.com,12–25,#1,modeled
OD-H02,OD-H00,OEM,Pump protector (rubber sleeve),41,5213211161,1,SCAN,rubber,AliExpress / FixPart,4,#1,todo
OD-H03,OD-H00,OEM,Pump suspension spring,42,6113210761,1,CALIPER,steel,FixPart / 4delonghi,3,#1,todo
OD-H10,OD-H00,ASM,Thermoblock sub-assembly,,,1,DESIGN,,,,#2,todo
OD-H11,OD-H10,OEM,Thermoblock (generator 230 V 1300 W + plastic connector),60,5513226671,1,SCAN,aluminium casting,AliExpress `EC680 thermoblock` / espressocoffeeshop,25–40,#2,modeled
OD-H12,OD-H10,OEM,Spacer,61,5332239300,2,CALIPER,,4delonghi,3,,todo
OD-H13,OD-H10,OEM,Generator gasket,62,5313228791,2 (+2 spare),CALIPER,rubber,4delonghi,3,,todo
OD-H14,OD-H10,OEM,Connection,67,5332242400,1,CALIPER,,4delonghi,3,,todo
OD-H15,OD-H10,OEM,Right-angle generator connection,70,5313218931,1,CALIPER,,4delonghi,4,,todo
OD-H16,OD-H10,OEM,NTC sensor,55,5217100200,1,CALIPER,,FixPart,5,#2,todo
OD-H17,OD-H10,OEM,NTC fixing bracket,66,6113211071,1,SCAN,steel,FixPart,3,#2,todo
OD-H18,OD-H10,OEM,TCO 192 °C thermal cutoff — **mandatory**,68,511876,1 (+1 spare),CALIPER,,FixPart,5,#2,todo
OD-H19,OD-H10,OEM,TCO fixing bracket,69,6013211951,1,SCAN,steel,FixPart,3,#2,todo
OD-H21,OD-H00,OEM,Anti-drip valve,39,7313260161,1,SCAN,,FixPart / 4delonghi,5,#6,todo
OD-H22,OD-H00,OEM,3-way valve,43,AS00004266,1,SCAN,,4delonghi `valve BARM30E`,5,#6,todo
OD-H23,OD-H00,OEM,3-way valve connector,75,AS00005380,1,CALIPER,,4delonghi,3,#6,todo
OD-H24,OD-H00,OEM,Flowmeter,45,5213225251,1,SCAN,,FixPart / 4delonghi,10–15,#7,modeled
OD-H25,OD-H00,OEM,Flowmeter–pump tube,37,AS00005774,1,ENVELOPE,,FixPart,4,,todo
OD-G00,OD-000,ASM,Group head,,,1,DESIGN,,,,#3,todo
OD-G01,OD-G00,PRINT,Group head housing (open-source replacement for the molded OEM housing),,,1,DESIGN,ABS/ASA,printed — thesis Appendix 2 as starting point,print,#3,todo
OD-G02,OD-G00,OEM,Brewing gasket,46,537177,1 (+1 spare),CALIPER,silicone,4delonghi,3,#3,todo
OD-G03,OD-G00,OEM,Closure gasket,47,5313221481,1 (+1 spare),CALIPER,,FixPart,3,#3,todo
OD-G04,OD-G00,OEM,Brewing gasket support,48,AS00005377,1,CALIPER,,4delonghi,3,#3,todo
OD-G05,OD-G00,OEM,Bottom (diffuser) gasket,49,AS00005075,1 (+1 spare),CALIPER,,4delonghi,3,#3,todo
OD-G06,OD-G00,OEM,Diffuser (shower screen),52,6013211191,1,SCAN,stainless,4delonghi,3,#3,todo
OD-G07,OD-G00,OEM,Connectors gasket,54,5313237781,1,CALIPER,,FixPart,3,#3,todo
OD-G08,OD-G00,MFG,Group head face plate with portafilter lugs (optional upgrade),,,1,DESIGN,aluminium / stainless (laser-cut or machined),local shop,—,,proposed
OD-G10,OD-G00,OEM,Portafilter 51 mm (filter holder assembly),06,AS00002706,1,SCAN,,OEM / AliExpress `51mm bottomless portafilter Dedica`,20–30,#4,todo
OD-G11,OD-G10,OEM,Filter basket 1-cup,03,AS00003137,1,CALIPER,stainless,OEM / aftermarket,5,#4,todo
OD-G12,OD-G10,OEM,Filter basket 2-cup,04,AS00003138,1,CALIPER,stainless,OEM / aftermarket,5,#4,todo
OD-G13,OD-G10,OEM,ESE pods filter (optional),05,5513281011,1,CALIPER,,OEM,5,,todo
OD-W00,OD-000,ASM,Water path,,,1,DESIGN,,,,,todo
OD-W01,OD-W00,OEM,Water tank assembly,18,5513200359,1,SCAN,,FixPart / 4delonghi,8–15,#5,todo
OD-W02,OD-W01,OEM,Water tank,32,7313285109,1,SCAN,,4delonghi / FixPart,(in OD-W01),#5,todo
OD-W03,OD-W01,OEM,Tray gasket,30,5313236391,1,CALIPER,,4delonghi,3,#5,todo
OD-W11,OD-W00,OEM,Tube L270 (tank → flowmeter),31,5313219841,1,ENVELOPE,silicone,4delonghi,4,,todo
OD-W12,OD-W00,OEM,Tube L150,33,5313236101,1,ENVELOPE,silicone,FixPart,4,,todo
OD-W13,OD-W00,OEM,Tube with 2 bushes L230,71,7313285899,1,ENVELOPE,,4delonghi,5,,todo
OD-W14,OD-W00,OEM,Tube with 1 bush L135,72,5513213661,1,ENVELOPE,,FixPart,4,,todo
OD-W15,OD-W00,OEM,PTFE tube with 2 bushes DI2-DE4 L100,73,5532111900,1,ENVELOPE,PTFE,FixPart,4,,todo
OD-W21,OD-W00,OEM,Connector spring,35,6132101300,4,CALIPER,steel,4delonghi,8 (set),,todo
OD-W22,OD-W00,OEM,O-ring D3.85 T2,36,5313217701,5 (+5 spare),CALIPER,rubber,4delonghi,8 (set),,todo
OD-W23,OD-W00,OEM,Clip (wire 1.2 AISI302),65,6113213191,3,CALIPER,stainless,FixPart,4,,todo
OD-E00,OD-000,ASM,Electronics (choose Path 1 OEM or Path 2 open controller),,,1,DESIGN,,,,#8,todo
OD-E01,OD-E00,OEM,Power PCB 230 V — Path 1,59,AS00002829,1,SCAN,,AliExpress 4001101696035 / eBay,35–45,#8,todo
